planTime,treeSize,pathCost,bestDistance
0,24,720,508
0,34,780,518
0,34,750,528
0,34,750,539
0,40,810,549
0,27,810,560
0,29,870,570
0,30,900,580
0,30,900,591
0,30,900,602
0,30,900,614
4,11,330,116
0,11,330,127
0,11,330,137
0,11,330,149
0,11,330,160
0,8,240,173
4,9,270,173
0,9,270,174
0,8,240,176
0,8,240,179
0,8,240,183
4,8,240,189
0,7,210,196
0,7,210,204
0,9,270,212
0,9,270,223
0,5,150,117
0,4,120,84
3,2,60,41
0,74,810,155
0,8,240,111
0,2904,750,50
0,3336,630,446
4,3170,690,366
0,3103,840,222
0,4,120,73
0,11,330,242
0,11,330,233
0,11,330,188
0,6,180,120
0,3,90,54
0,3,90,47
0,3233,720,51
0,5,150,52
0,3,90,54
0,3,90,41
0,10,300,233
0,7,210,166
0,3254,390,79
0,18,540,440
0,17,510,362
0,19,570,291
0,15,420,333
0,14,420,307
2,11,330,208
0,5,150,94
0,16,480,327
0,16,480,312
0,10,300,197
0,5,150,62
0,8,240,132
0,3272,300,71
0,4,120,44
0,3,90,51
0,2,60,46
0,3,90,31
0,20,600,237
0,14,420,230
0,3165,420,223
0,10,300,217
0,10,300,211
0,3200,1230,687
0,34,990,686
0,36,1050,688
0,35,1050,694
0,37,1050,702
0,34,990,714
0,47,1020,729
0,30,780,324
0,30,840,312
0,27,720,297
0,126,1320,285
0,31,780,273
0,14,420,260
0,13,390,246
0,3074,660,235
0,2967,1170,222
0,2957,510,215
0,3090,1110,218
0,33,990,727
0,31,930,705
0,29,870,688
0,25,750,674
0,23,690,663
0,24,720,656
0,26,780,652
0,26,780,651
0,28,840,653
0,29,870,659
0,3001,930,667
0,2920,1140,646
0,28,840,606
0,27,810,563
0,26,750,522
0,25,690,480
0,23,660,443
4,3227,1080,406
0,8,240,167
0,7,210,168
0,7,210,173
0,23,690,486
2,20,600,456
0,19,570,465
0,15,450,409
0,11,330,279
3,6,180,124
0,13,360,276
0,14,420,268
0,30,390,214
0,3262,510,141
0,3231,390,80
0,3328,180,47
0,3110,150,47
0,5,150,95
0,5,150,91
0,3286,180,59
0,12,360,262
0,19,570,333
0,20,600,370
0,15,450,335
0,8,240,222
0,4,120,98
0,13,390,385
0,2985,870,575
0,28,810,554
0,23,660,449
0,16,450,297
0,7,210,131
0,4,120,36
0,5,150,84
0,5,150,95
0,4,120,72
0,2,60,38
0,53,1080,679
0,37,990,632
0,27,780,533
0,19,570,423
0,12,360,314
0,11,330,219
0,7,210,158
0,3146,630,341
0,72,780,363
0,23,540,331
0,23,600,242
0,6,180,107
0,16,480,311
0,10,300,192
0,3075,420,116
0,21,600,364
0,17,510,264
5,20,480,293
0,15,420,269
0,13,390,221
0,3216,300,220
0,12,330,138
0,9,240,128
0,24,600,119
0,25,630,109
0,11,270,101
0,44,840,95
0,3070,570,48
0,4,120,72
0,7,210,111
0,9,270,156
0,11,330,200
0,13,390,256
0,13,390,269
2,12,360,246
0,12,360,222
0,2959,390,210
0,10,300,191
0,9,270,169
0,8,240,149
0,6,180,129
0,6,180,114
0,3134,480,101
0,7,210,93
0,13,330,90
0,9,270,93
0,8,240,102
0,7,210,116
0,3297,480,132
0,3069,450,126
0,6,180,121
0,6,180,122
0,6,180,127
0,7,210,136
0,8,240,148
0,15,420,164
0,8,240,180
0,9,270,198
0,9,270,220
0,10,300,240
0,11,330,261
0,11,330,282
0,14,420,297
0,15,450,304
0,2952,1110,311
0,3346,1110,318
0,12,360,285
0,9,270,196
0,3,90,68
2,14,420,316
0,33,900,573
0,21,570,416
0,9,270,203
